City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
307,Petropavlovka,RU,50.61,105.32,24.12,82,96,8.39,overcast clouds
308,Los Llanos De Aridane,ES,28.66,-17.92,71.6,64,40,16.11,scattered clouds
309,Korsakovo,RU,53.27,37.36,45.86,87,51,6.6,broken clouds
310,Beneditinos,BR,-5.45,-42.37,96.8,32,40,3.36,scattered clouds
311,Floro,NO,61.6,5.03,46.4,75,78,14.99,light intensity shower rain
312,Gargzdai,LT,55.71,21.4,53.6,81,0,12.75,clear sky
313,Mindelo,CV,16.89,-24.98,82.4,65,20,27.51,few clouds
314,Kalabagh,PK,32.97,71.56,67.06,34,0,2.24,clear sky
315,Kodinsk,RU,58.69,99.18,23.38,95,69,4.12,broken clouds
316,Temozon,MX,20.8,-88.22,82.72,76,36,7.14,light rain
317,Rocha,UY,-34.48,-54.33,72.46,82,100,11.1,overcast clouds
318,Galesong,ID,-5.32,119.37,71.6,100,20,2.24,few clouds
319,Jacarei,BR,-23.31,-45.97,71.6,73,75,3.36,broken clouds
320,Sechura,PE,-5.56,-80.82,75.2,56,81,15.26,broken clouds
321,Saeby,DK,57.33,10.52,50.0,95,100,1.99,overcast clouds
322,Kuryk,KZ,43.2,51.65,58.39,91,52,3.76,broken clouds
323,Biltine,TD,14.53,20.92,79.81,17,11,8.52,few clouds
324,Balykshi,KZ,47.07,51.87,55.4,87,40,15.66,mist
325,Chifeng,CN,42.27,118.96,43.07,59,100,1.68,overcast clouds
326,Camacha,PT,33.08,-16.33,68.0,72,20,11.41,few clouds
327,Quatre Cocos,MU,-20.21,57.76,72.0,83,75,14.99,shower rain
328,San Carlos De Bariloche,AR,-41.15,-71.31,51.8,53,20,32.21,few clouds
329,Sterlitamak,RU,53.62,55.95,45.27,93,100,9.01,light rain
330,Colon,PA,9.36,-79.9,86.0,74,40,11.41,scattered clouds
331,San Javier,ES,37.81,-0.84,64.0,82,0,6.93,clear sky
332,Mezen,RU,65.85,44.24,16.5,97,8,4.72,clear sky
333,Thinadhoo,MV,0.53,72.93,82.92,72,9,8.01,clear sky
334,Konan,JP,35.33,136.87,55.4,76,75,9.17,broken clouds
335,Areosa,PT,41.72,-8.86,55.99,87,40,4.7,scattered clouds
336,Riyadh,SA,24.69,46.72,68.0,37,0,7.0,clear sky
337,Asau,RO,46.43,26.4,53.01,98,100,1.61,overcast clouds
338,Darhan,MN,49.49,105.92,24.22,89,91,5.61,overcast clouds
339,Henties Bay,NA,-22.12,14.28,59.0,91,0,1.99,clear sky
340,Flin Flon,CA,54.77,-101.86,24.8,73,90,3.36,light shower snow
341,Blairmore,CA,49.6,-114.44,26.01,61,1,12.75,clear sky
